rank,message
negative,Bored of Sims for today  Still thinking of a name for me and Lukes youtube account to post our awesome new vid on  ideas people!!
negative,Why do most videos i play skip and jump 
negative,"@edbehrens 'Thanks for all the good luck! Alas, I wasn't good enough  don't really want to explain but thanks for everything I &lt;3 you all'"
negative,"Morning all! It's a grey day in Holland  Come on spring, you can do it!!!"
negative,T minus 35minutes to go home. Well not home. But to do laundry. At home. Kindof. The laundry is at home. But the washer and dryer isn't. 
negative,My nose is bleeding 
negative,"Back from Bangalore, Missed dancing with a handsome wonderfully smiling foreigner  "
negative,@flurogoddess i would hope that most agree with you there. a worringly long day  hope all goes in your favour x
negative,"Why is everything biting me?  First the hamster, now the cat "
negative,@bradiewebbstack   come to Perth?  soooooon.  pleaseee. 
negative,Stop making me do things! I'm so tired! 
negative,"blehhhhhhhhh way to early , *feels like puking* "
negative,was offered ï¿½30 for my old car  Am going to keep trying see if I can get a bit more.. she has cupcakes on for goodness sake!
negative,Watched a movie... feeling sleepy but know that when i actually get up from the lounge and move to bed I'll be wide awake 
negative,@srrrah417 And snow to go with it 
negative,"@MarinaSg I KNOW, MAR!! I saw it in my updates!!  I don't understand.. are they changing again?"
negative,"Just booked a dentist appointment, what joy "
negative,i just lost my ipod 
negative,duunw how to use this thing 
negative,"JUST FINISHED CRYING HER EYES OUT, PARENTING A PRETEEN IS HARD "
negative,im scared to go outside....its COLD today. Too bad I already put away all my winter clothes 
negative,Just baashed my head on sum iron railings 
negative,is very tired and has no energy  as she has the cold 
negative,Why is it snowing? 
negative,think i may have to go to the er today 
negative,"OK, I now have a question that needs to be answered...Why are dreams so hard to acheive?  x"
negative,"Ugh I feel like death. I just wanna go back to sleep, the only thing making me go to school is dumb precal quiz "
negative,@supaswag I follow your blog.. you haven't posted anything there in weeks 
negative,@Rob_Jensen That is a chilly wake up call and $$$$ to boot. Bummer 
negative,I really hate classes that are a waste of time. 
negative,The perfect girl for me is sitting in a cubicle next to me... unfortunately she's already taken 
negative,just made an appt. for my lil one today. hes got an ear infection 
negative,"@HDCinema wow, that isn't right at all. "
negative,doesnt want to wait all the way until 4pm tomorrow to listen to hamish and andy!! 
negative,Hello everyone! I'm sorry about yesterday all my updates kept disappearing. 
negative,"just burnt her breakfast.  but i ate it anyway, bcuz i was hungry. tramp."
negative,"@barker_g dude...that's like the same for me. I think we have XServes as well, but no macs "
negative,Think it's away to piss down!! Great!!! 
negative,Day two of training a tech who doesn't even know ctrl-c.  He's probably not lasting here. 
negative,"@rhooks aw, i hope you're okay! maybe take it easy and do treadmill or low options? or just go for a walk. "
negative,I'm sick and broken hearted  not a good mix!
negative,woops got chocolate milkshake on my white top :S grr my top  &lt;3
negative,Maybe I'm chasing the flush   .....
negative,Trying desperately to find a particular 'fandom secret' about Gert Yorkes but failing miserably 
negative,@mreeves1 nooo  no BOT for me. at least i dont think so. i gotta edit allll night and go into WVAQ
negative,I love the sun!! I hate school that keeps me out of the sun 
negative,"@rissaleewhis - Isn't it justtt?  I've lost him now.  Oh, woe is me."
negative,not impressed with the fact it is SNOWING APRIL 7TH 
negative,@KHill215 I seriously had hopes of wearing something short sleeved for Easter Sunday Service... Probably need a shawl or sweater! 
negative,"Time Off Day 2: Just got back from my time out, i am so tired of being skint, no good news at the bank  May watch another zombie film now."
negative,"anyone want to buy their dear, unemployed friend Darryl an Austin City Limits 3-day ticket? Only $160. Guess I'll sit it out this year "
negative,@AnandaRose That's completely lame.  But nonsurprising.
negative,"Whittards is gone, habitat's going, and IKEA's gone shit...what's the point in living anymore?! "
negative,I no. Its lyk freezing in stl! Iz lyk snowin n shit!  &lt;JNB&gt;
negative,why is the there a traffic backup on my side of I-Drive?  This is supposed to be the quiet side.  
negative,nothing.. still no picture 
negative,Stupid Twitter keeps telling me that it's 'over capacity' 
negative,Hates it when good days end bad 
negative,My tummy hurts 
negative,@octopuslungs @topsycrets why don't I get to see you guys  when will you be back
negative,@SamMarinucci I saw the trailer for My Sister's Keeper at 17 again!!! It looks really good but I'm not really a fan of the cast 
negative,@FusionManT How 'bout &quot;This hurts me more than it does you.&quot;? Nope that one's already taken by my parents. 
negative,Trying to sleep before I get up at six for work 
negative,citibank won't send me my payee confirmation number so i can't pay for my rent or my #socks 
negative,baaaahhhh better luck next time blues... 
negative,"some of the people on the show The Cougar are younger than me,  am i old? lol,"
negative,"Still no electricity, two days now dangit. PG&amp;E has missed the appointment we had "
negative,@EmpressZakiya lol yea follow me though i need more followers lol 
negative,@NessaBanks Thunder bolts &amp; lightening around here! 5 inches of heavy rain late in the afternoon made it a no go for a road ride.... 
negative,@ricanitaliana89 no more worms 
negative,@ultraviolet__x oh anno i watched this morning and im just like wtf? I'm still gutted everytime i watch it 
negative,Moving day 
negative,@ShariFitness Still don't have the confirmation email  Technically I could give up already ;-)
negative,now im gonna wait till the jonas brothers update!!...but since they r in the bahamas...they may not update.  
negative,Had to cut my round short 
negative,"bad ending to the week in winston salem - windows account on laptop got semi-hosed, and i lost (at least for the moment) all my settings "
negative,@johnrobinson That really too bad. 
negative,"@yobeeone Lots done yesterday, but NEVER got out!   Leaving computer now to make sure today is not the same! ANOHTER nice day here in NY!"
negative,is stuck babysitting my sister AGAIN! 
negative,Just saw the pilot for Caprica. It was excellent. Have to wait ages for show to start next year 
negative,@flyingwithkids Oh Raspberries!  I bet the cold weather isn't helping either 
negative,getting ready..! My hair will not do as i wish!! 
negative,wants to play in the rain 
negative,Is Bored and has to get ready for work 
negative,has a swollen ankle  but is sorted with twilight &amp; sunshine
negative,my best friend from high school can't come to my wedding or be in my bridal party anymore 
negative,@NGowers u think u have got it bad! They start school at 745am here and I walk him to school 20mins away! Just the thought! 
negative,"@Ketekete aight then let's do it... dumb arse that i am, i just tried calling your phone! "
negative,Wanted to go out but afraid of giant black clouds above the house... 
negative,my cat bit me.....  evil thing..........though i was annoying him....oops....
negative,Where did the week go?!?!? Not enough hours in the day and not enough days in a week  
negative,Had a call fm 000-000-0000.       Did not answer. Who could it be? Going outside now to wrap my house in aluminum foil--shiny side out!
negative,"@DonnieWahlberg   I'm sick   So I'm chilling, but not happy."
negative,Just ate my last mini egg  and just watched Stickin' Around for the first time in 6+ years! ;D
negative,#tpb found guilty.  Booerns to that. I hate to thing about the consequences of this decision.
negative,is cleaning 
negative,@twotonedc The Estate?  What's that? Really don't go out on the wknds cause I work 
negative,Flight b4 us got canceled hoping ours at 3:30 won't Otherwise we have 2 drive 2 Dallas 2 get on R connection.  http://twitpic.com/3j4p8
negative,"@Pookthy @CraftyQuincy DH is going in a week  My 17mos and I are going at the end of May, going to Vancouver 1st to visit my parents."
negative,nearly about to go out tonight but don't no where???? where ever we go its going to be boring   luve M.R sooooooooo much oxoxoxoxoxooxoxox
negative,I wish I was at Coachella 
negative,has had a headache for 3 days and need to do coursework  cant be bothered
negative,no updates 
negative,i want a grill... 
negative,"Dear gods, i love Canadian accents...  Hi Toronto, by the way!"
negative,I wish my ears weren't clogged... or my face.  I am tired of being sick.
negative,Definitely not enjoying all this rain. Especially since my house got flooded. 
negative,@zachsang tell him i'm so sorry   that makes me sad 
negative,@ddlovato HEY DEMI WHY DO YOU NOT COME TO AUSTRIA??? 
negative,@bbsblazed  so going to the gc with out me...bummin make sure u get lot's of pics ;)
negative,Until I broke my shift key I never realised how much I rely on it to type  #epicfail
negative,it's 7am and I been in bed since 10pm sat 
negative,hanging with jared and david  there mean to me tho 
negative,@mypropaganda There's some serious lag between whatever you are using for FB and the Twitter reposting of it... 
negative,@Zakupilot256 Will there be more updates to the PS1 Classics on the PSN? Every time I look there aren't any new additions. 
negative,The guys are back - gone is the quiet.  
negative,@OfficialDylan aww you dont have a youtube account? now youtube is gonna be less fun wiothout you 2! 
negative,"Aidan's soccer team wins, Matthew's bball team splits the double-header. Shoulda won the 2nd game "
negative,"@blackandred im not a very musical person, ive got no hand-eye coordantion to play any instroment very well "
negative,@chelchik no.....not with my dad......  i wish......
negative,is wishing he was at Coachella 
negative,@primaryposition kills you in what way?I can't drink red-gives me heartburn 
negative,i lose followers all the time.  haha
negative,On my way to see the chariot...i don't feel like going i just want to get to suzanne's party! 
negative,@galvestonisland did the Strand shops take on water again?   @Leighjones http://www.twitpic.com/3k0zj
negative,will try to get some rest...sleep...get well...  http://plurk.com/p/owcjv
negative,@jackiepeters took my burger and the last bun. 
negative,"@TheEllenShow You always look great. Sorry, no pet.  But I like Bull Mastiffs."
negative,loves the beautiful weather outside but hates the allergies i have right now 
negative,"If Piratebays getting shutdown and downloading is soon to be illegal, and i do a music course in uni... will saas buy me CD's? "
negative,"@captzoden I was looking for it, but it isn't on the iPhone keyboard. "
negative,@TeXas_bEll you still not following me  but I guess I don't matter since you don't be on here
negative,"@jennifermf Aw, I got all excited from your tweet to she_writes, hehe. But yeah, I miss full-service gas stations. "
negative,@joebobhawkins we've decided that home improvements are best left to the professionals 
negative,@bananzas Cody is making me play L4D in Christopher's room. 
negative,i burnt the piss out of my hand! 
negative,@alexa_chung Meeee toooooo!! 
negative,Drinking for 8 hours makes your tummy unhappy. FYI 
negative,Needs a New Job  I hate stupid tim hortans!
negative,Has a sore throat 
negative,is upset that @cassyecky  hasn't been on twitter lately. Where r u?i miss u 
negative,pissed off.. boyfriends going to my bestfriends party and i wasnt invited. wat the hell 
negative,@xxashwee25 on the other handdddd! how are you my lovee?! we havent talked in so loooong 
negative,@sezzblack   looking at the stud muffin u know who
negative,"i really wish i had more alcohol but i dont, so im gonna have to go with water "
negative,@mrcoolness  next week is Dz bday weekend though...
negative,@irishnessa it does. AND my battery on my phone is low 
negative,Damn! I love my Nigga. But how can I tell him his girl looks like the shit out my hamster's ass?? Its not even a joke 
negative,Feeling left out 'cos I'm not doing the readathon.  Must be more organised next time. #readathon
negative,Happy birthday to one of my dear friends AICYD!!! sorry I couldn't make it tonight   Hope you had fun!!
negative,The ghetto Safeway had shards of glass stuck to the pickle jars tonight. No more late-night pickle buying adventures. 
negative,seriously trip isn't going as planned I wanna have fun but I'm stuck between a rock n a hard place ugh dammit JUST WANNA HAVE FUN 
negative,My cat is trying to sit on my laptop 
negative,"@vemana hey, nah can't make it this time "
negative,Back home 
negative,Homeeee from vacation..  knew it couldn't last forever.
negative,im like bored as hell right now lol and im kinda in the mood for icecream but its 1:50am  and all the icecream shops are closed -__-
negative,@tkingbacksydney 
negative,"mariners, sounders lose "
negative,@ChrisLaRonBee becuz technically in the bible it says that man should not lay w/ man nd woman not w/ woman. its an abomination... 
negative,Home. Feeling good. Resisted another tattoo. Too lazy to wash off the eye makeup...... Oh well  Wearing last nights liner for tomorrow.
negative,@TonyJ101 yeah he said it was affecting his personal life 
negative,is pretty tired and has to wake up tomorrow to do that stupid paper over serotonin 
negative,"@JohnKremer and 85% of statistics are made up on the spot, too. http://is.gd/rLdg for some real examples "
negative,"what do i do when the girl i like,likes alcohol and drugs way better than me??? "
negative,@almostsurprised my feet hurt too 
negative,Sch start tmr. 
negative,No ones talking to me  and @KRob614 is knocked out!
negative,So effin tired rite now  maybe not enough diet coke 4 me 2day? Gnite ppls
negative,"stuck it out for relay for life as long as I could, sad to be missing out thoug "
negative,I wish I had my noodle with me so we could cuddle  he wouldn't want to anyways...he says I snore (which I do not!!!)
negative,rascal flatts : here comes goodbye  so sad 
negative,My stomach hurts  Bed now.
negative,"im filled to the brim with good things. workday tomorrow though, i think i can't go to work. "
negative,@DDRFanatic682 it does taste like Shit. I already threw up.   i didn't need to mention that. Sorry!
negative,@piggystink that's just sad.  
negative,@invisible21 Nothing.. Net wasnt working from last 3 days.. so couldnt come online 
negative,@katyperry hey katy when are you going to philippines? 
negative,@purpleface totally get that! some of my silly photos are popular :\ like i don't know er well my blurry ones 
negative,Ferrari pointless again. sad face  #F1
negative,Go0o0odnight Universe. Oh and I think I'm growing .. O.o Hopefully i can get to 5 feet.  Being 4'11 just sounds sad.
negative,is so poorly  i've been sick 12 times throughout the night!
negative,Randomingly woke up at 4 and now I can't go back to sleep. 
negative,a moment can last a lifetime...and forever can fade away 
negative,@JoelMadden I love that movie!!!  Very cute &amp; yes sad!!  
negative,"@johnlinford for once I did nothing! Left it alone for a few hours and it died, suspected motherboard failure "
negative,@jordanknight You do realise all this talk about the cruise and summer tour being so great is making us fans in Europe sad? xx 
negative,tired after watching #f1. Exciting stuff. Must resist falling to sleep now  Cup of tea will do the trick nicely
negative,Listening to music since I got fed-up of hearing @cpearson1990's ;p  I tried to be sneaky and bag the decent headphones. I think I failed 
negative,@LauraCal aww why would you say such a thing 
negative,@marginatasnaily haha! yes she is. bloody time difference 
negative,"@petewentz are you for real? I mean ffs, does anyone have a heart? "
negative,"just had a lovely walk with my dog. now, to work "
negative,@joebel huy magbonding tayo this week! bilang na lang araw mo sa absi 
negative,Watching The Office. Is it me or is it not as funny as it used to be? 
negative,the weather is so nice outside. ok a little bit cold and windy but still pleasant. wanna play outside than 'forced' to be sat @ home 
negative,"I am exhausted, but I have so much work to do! I have an assignment due on Wednesday and I don't even know where to start! "
negative,dont want to go back to school 
negative,@loser1830 that's pretty cool. i've been out of school for like 2 years now  gotta go back! what else have you been up to?
negative,woke up early today...dont wanna go to school tomorrow... 
negative,my erlang recommendations engine is making good use of all 4 cores but the damn disk can't keep up  i need more ram damn it!!
negative,@TheJeffster I have after a couple of shows.. (For BJ on the very week he got voted off) 
negative,"is a totall mess, and really doesnt trust alot of things "
negative,Argh...Your booty shivers me timbers argh...pity Pirate Bay lost 
negative,studying again.. swear to god this better all be worth it 
negative,Im happy coz i just got twiiter and finally figured it out but im shattered that i have school tomorrow 
negative,Is Happy. School Tomorrow Tho 
negative,Ewww I have work now and idk when I am going to be home.... 
negative,Steven leaves today!..sad 
negative,grrr day 2 of back spasms... no fun 
negative,@MrJonty I just got your reply about Lips. Yes....very good game for people who go to Whisky Mist. 
negative,"@janole Hey I'll run a debug version, browsers always closing on me here "
negative,@leydon There are ads in this 
negative,@rubymaree idnt know how to do that  and i know you do 
negative,I feel like I haven't slept at all. It's going to be a long day 
negative,canceling picnic plans on very nice sunny weather 
negative,in work. In toilet while twittering! Hmm not good but not supposed to have phone on me  lol
negative,none of my friends have twitter 
negative,Gave up after two... im bored! 
negative,learning for shool 
negative,"church, baby shower, then taking chris to the airport "
negative,No. that still sucks.  When he begin to play real good things? #ASOT400
negative,"@kisanka oh well, wish i could man, its used as some SMTP relay as well. so there are some security issues "
negative,I'm mad you have to pay to get your number changed. 
negative,still doing h/w!! some schools are just soo annoyin!!!(espeicially qegs) 
negative,Trying to get out of bed but my aching back doesn't wanna cooperate 
negative,I'm home! The child started screaming so there was no fun filled alcohol fuelled afternoon for the lala 
negative,loves the layouts on colorarmy.com... time to enjoy the delicious breakfast Henry made...todays the day 
negative,itsgoing 2 be a boring day 2day and it school 2moz 
negative,Just testing new ruby twitter gem by @jnunemaker - cant get cli working tho 
negative,Miley rules! The books sad  poooor miles
negative,my thoughts go out to the family 
negative,so hungover slash maybe still drunk. need shin ramyun to cure but im out 
negative,@euripidean i'll neither ever 'get' nor wanna 'get' spongebob. the BBC &amp; Boston's WGBH create great PBS TV &amp; Brits get our worst shite. 
negative,Doing Alevel geography revision 
negative,"thinks my bff is mad at me   she won't answer texts, call back, etc.....  the conversion went well yesterday!  Now for tomorrow..."
negative,@highfiveandcody  do you golf?
negative,I'm trying to tan in the Ireland sun...too bad that I can't! 
negative,gothere.sg sez my bus ride is gonna take 42 minutes. #$%^  and PIE morning jam too... :'(
negative,@ddlovato omg! I wish I could be there!  I can't wait to see u the 13.6 in Madrid! Love you!
negative,@nrg07 iya kak. it's kinda sucks 
negative,@PrincessMilian nooooo dont qo  are u takinqq da husbay
negative,"@billbeckett i wish i was in manchester right now, work is so not fair "
negative,Why can't I use my phone to update twitter 
negative,I did and your not here.  lol
negative,Goodmorning! Great day yesterday. Homework day 
negative,Sitting at home doing laundry.. 
negative,@hilandveil no workie for me yet  it's trying though!
negative,about to give a presentation.....that is about to be removed from the agenda 
negative,"@mulsteff i feel your pain, i was as well "
negative,Home again 
negative,ugh no winnings in the drawing last night - that sucks 
negative,Going to Short Hills with daddy to get my new Louis Vuitton! He wont let me use it until my official birthday on Thursday though 
negative,watching halloween town on disney channel with brittany. haha. school tomorow.  not exactly my cup of tea! haha. sort of inside joke. xD..
negative,Five hours standing and three inch heels don't mix 
negative,Going eat with the fam... Homework later 
negative,@JoelMadden watched it with my dog HUGE mistake.....such a SAD movie... 
negative,uh oh.. penalty time. i don't like it.  
negative,"go away, cold "
negative,"@PaulaAbdul Hmmmm, Rain in Toledo "
negative,Some days I would rather be anywhere but here 
negative,"@OsmentEmily yeah that sucks  what time is it in america!? its so much better there,:/ thats where all my dreams will come true."
negative,wishing my baby didnt have to sleep all day and go to work tonight 
negative,@ msanders1  i know! I hated it!  
negative,Bad Sports Weekend: Arsenal loss to Scum; Spuds relegate Toon Army; Button podium; Murray loss; Mick McCarthy back in premiership. 
negative,I really don't want to dig up the arguments about this... too boring... boo 
negative,@alysilverio  ahh! i know i just looked at the pics on google again yesterday and found some better recent pictures. god doesnt like us.
negative,doesn't want to work BLAH 
negative,@LuSay  He said same time as other Mondays! Oh  I wanted a lie in!
negative,Missing hubby  can't wait till he gets home...
negative,"@lisanoelruocco you know by saying that, this week will drag on.   i want it to be next tuesday, so i hear ya. good luck on your exam. "
negative,@MissBeckala sorry I missed Miss Em's Sunday show!!  Tell her I will catch the next one. Have fun at movie! I LOVE the EM! ;-))
negative,I'm tired of being sick 
negative,KFC + pizza hut =&gt; deadly combi. too full to sleep.. 
negative,@Lady_Twitster Oh poor you! 
negative,Almost 4 years and it's over 
negative,"@random_michelle For me it blows. I use Office 2008 on Mac when I have to. Here, I have to try porting a docx from one to the other. "
negative,my back really hurts. 
negative,@Monaypink i saw that you unfollowed me  i thought i scared you off
negative,it was 80-90F in cali today  so jealous!!!
negative,@freakyfudge thats all i have done today..nothing else..  i think we need to have a party soon.
negative,@aubreyoday  how about...humm danielle lol yay
negative,"@cinnamonclouds   Have you recorded before, btw?"
negative,Is waiting for dinner why is nobody home yet 
negative,I feel like barfing. Was it the cake or the idea of going into work tomorrow? I don't know what to do. 
negative,@AJDADDY aj where have you be 
negative,@cocoward NO i just have digital  fm5ktymtrfngt5grf!
negative,Not looking forward to going back to monterey or work 
negative,Bed time is so necessary... not looking forward to the week beginning 
negative,"as good as that texmex cream cheese was, i probably shouldn't have eaten so much of it... i feel gross "
negative,Had to come home early to take my little boy to the doctor 
negative,@chrispirillo Use &quot;Click to Flash&quot; - IE ActiveX-esque object clicking to load - it's brilliant. Flash is a waste of Safari goodness 
negative,today is the same like the days before. Tired and all sleepy! My best friend still do not call. I miss her but she too busy to bore her 
negative,Spent 10 minutes choosing wine at the supermarket &amp; it only took 1 second to drop &amp; smash in carpark 
negative,All-nighter time!  Bleh.
negative,I cant celebrate those kinda holidays anymore  @aulstar
negative,Back from our night time walk up Pen y fan - absolutely exausted now and stuck in work 
negative,Oh my.. No backup? 
negative,got my car all fixed up aand what do you know - she's gone  dumb dumb dumb me!!! haha
negative,for god's sake I washed the car and a pidgeon flies into it leaving a giant pigeon-shaped smear on it  grrr!
negative,I do miss regularly sewing buffy each week on tv. Was a great show. And great eye candy. The series fanalie sucked though I felt 
negative,School times again. Sort of happy because I get to see my Cobra Starfish but other than that I'd rather be in bed 
negative,Wishes he was going to be at the star trek premier tonight 
negative,In a boring PSHE lesson 
negative,"is actually quite nervous about meeting the germans, what if they dont like me "
negative,my back is KILLING me 
negative,@alhpixie sucks when u cnt sleep. 
negative,wants to go home already!!!! still in QC  http://plurk.com/p/p4ynm
negative,damn!  the match gets rescheduled 
negative,What do you do if your mentor and inspiration let's you down? 
negative,I am not doing v much... I have a snotty teething toddler clung to my leg and screeching at me..   It is quite hard to move  
negative,Wants some junk food! 
negative,Anise + 6am overtime - a cup of goodness = disater!!! 
negative,"@la_vache you should be so lucky, @travelrants doesn't follow me "
negative,"i have to shower, i cant be bothered. "
negative,"exam today,  sleepy, hungry, "
negative,I hate school. Getting ready... 
negative,@risingpaulo theres no where id rather be on a day like today than sat in the office 
negative,Workin... 
negative,Ok so its 0640 and I think I have to be at work at 0800 no time for my morning run 
negative,I am SO tired  5 more minutes....
negative,will be scouring coalville to get her laptop fixed. Grrr 
negative,"Tired with a headache  .. yes, I am whinging!"
negative,"Hurt my ankle really bad playing soccer. Haha, I laugh the pain off, but it still hurts worse than a sprain "
negative,getting ready for school...but i dont want to go 
negative,My immune system has finally died 
negative,hates fighting!! 
negative,it's monday... off to work in the rain! 
negative,feelin alil sicky   gonna relax a bit then hit the gymmmm!
negative,"@Cyberela i feel for you, ? ??? ???????? full ???? ?? ???????????????  it hits the theaters in 9 days tho! i m waiting impatiently!!"
negative,back to work - vacation is over - 
negative,my predictions were right. 
negative,This laptop sucks 
negative,Back to my desk.  I think I'll nip outside when I need a break in a bit. It's too nice out there to be in here! Laptop would be ideal now!
negative,ew monday morning 
negative,@selenagomez please reply.........it would mean the world to us.even if you just reply with a period or a smiley face..please reply 
negative,my back is killlling me....  
negative,Both flights oversold. Wish I could take my time and rack up some flight coupons. 
negative,"I miss my reza too much, wont meet him until saturday aaaargh "
negative,wanted to post Butch Walker's &quot;#1 Summer Jam&quot; but tweet fm doesn't have it.  #musicmonday
negative,"@bluebonnetfield no  lol. aspiring for survival, then living and then phenomenal. could be a long process ;)"
negative,Server issues this morning  apologies if you've had problems accessing the site. But were back now! http://www.crafteroo.co.uk
negative,"@tvtongeren ah, right abt local sites, hvnt thought abt that! the joint happened less than 1 yr so the video cnt be so old "
negative,@MissPrecious2 how come? 
negative,"@whatdoyoudo How awful, Diane - what a sad week "
negative,I am soooo pouting for real... You guys are gonna have me double up on the Hot Cocoa this morning 
negative,@ideal_angels: awww such a long wait.  mmm vid. I still haven't uploaded my TBS vid from December.
negative,"Finding out your out of dog food at 9:45 at night sucks, down to the fuel station I go "
negative,"@writer_atdusk I crashed and you were gone  Have a nice day, ok, sweets? "
negative,@VibeMagazine Oh wow! I wish I was in NYC this week  Are you going to be Tweetin' from the event?
negative,@leechdemon it isn't coffee  I just feel sick. Maybe the vitamin
negative,@Tori_Thompson The sun is killing here. As a typical vampire I hate the sun! 
negative,BLAHHHHHH!!!!! &lt;&lt;&lt;&lt; thats how i feel today 
negative,@taiQynchina I know.   Unfortunately every company is looking for profits and they all get greedy. Thought netflix was different though..
negative,@wtcc ahh do another live show! i missed it 
negative,"@funkymonky526 Yeah I don't know if she ever will, unfortunately "
negative,UGH I HAD TO COME TO SCHOOL AND NOW IM STUCK IN &quot;PHYSICS&quot;!!! BORING !!! 
negative,"God I hate Cook, yet I like him. Why was him and Panda adorable "
negative,@pixiequeen10thk Nice pic hon.  Kinda overcast here so the flowers aren't blooming much 
negative,Still having MAJOR LAUREN withdrawels....miss my sister.  She's like my other half.
negative,The neighbour spilled bleach on my jeans - nothing fixes a bleach stain. 
negative, leave what you said as something herd and the the things u havent said should be left unherd.
negative,Time to go to sleep. Had a long day ( not as long as @Funsize69). Have to leave at six tomorrow morning  goodnight
negative,@risha_ bad tummy 
negative,Leaving tgif.. Time for finish my report 
negative,"@DWsCoverGirl1  I wish I could give you a better answer, but I haven't seen all of them yet "
negative,Yo to twitterland I am back today after having computer problems for days  But almost fixed now.. did I miss anything?
negative, I hat3 seeing friends breakup.....im sorry frankus
negative,@pebbles1066 what's stopping you? 
negative,Still not quite sure about Twitter   I feel I have more interaction with people on a certain other site.
negative,"about to leave for lab.... I hope that, unlike yesterday, I won't be there for 12 hours just to have a negative result "
negative,Another round of editing on Leaves Of Grass!  Any help on that would be appreciated!
negative,"Just got home...ahhh!  Getting ready 2 go mimis, but it's just not the same w/out my baby.  "
negative,@RealLamarOdom To bad im not in LA... Because here in NYC... it is cold and rainy   
negative,@jamiekennedy any info regarding scream 4 reached u?i hope it doesn't happen  loved you in Criminal Minds btw.the twist was awesome!
negative,Can't sleep and I have a busy day ahead of me. 
negative,Damn peak hour traffic reminds me how much I miss having a motorcycle (and being able to lane split!)... 
negative,wot he did really hurt so i dumped him.....i hav never had this happen to me so......and he was dared to nd he didnt walk away 
negative,"@hibbins @chrisherring, @birdsigh 'I need you clothes, your boots and your motorcycle' (Austrian accent). Epic! Writing went well ok "
negative,I went to the DMV today-twice  I threw away my car's registration by mistake and I needed to get a copy for my court date (in the desert!)
negative, seems a few ppl r down today including myself :S I should try get happier
negative," i am still uber sick (lol, FEVERISH AT LAB TODAY!) and my lab report is barely progressing. FML!!!!! !!!!!!"
negative,wishes it wasnt cold 
negative,@yoitsandrea There's a difference between making fun of you and thinking that the picture was funny though. Sorry. 
negative,@madeinfebruary Im free friday after 1 before night? missed u guys at fusion 
negative,is no longer attending the SAMA's &quot;due to budget constraints&quot; 
negative,@djknucklehead  wish i could be there 
negative,working late...again 
negative,@anioklin  Clean Me!
negative,Any developers out there?  Had an idea for a program for OS X but have no clue how to code 
negative,@djurban01 that y I'm kinda ify on getting one  I miss the button being there
negative,@sickforcute any alternatives though? I'm getting sick of etsy as well 
negative,"@ManuelViloria I'm rusty already, manong.  My stint in the academe now feels like ages  ago."
negative,@BSBSavedMyLife cant get to sleep? 
